Noise Type,Feature,Noise %,F1 mean ± CI 95%,AUC mean ± CI 95%
Baseline,All features,0%,0.9739 ± 0.0050,0.9638 ± 0.0101
Duplicated,All features,10%,0.9799 ± 0.0037,0.9688 ± 0.0124
Duplicated,All features,20%,0.9769 ± 0.0034,0.9486 ± 0.0240
Duplicated,All features,30%,0.9777 ± 0.0031,0.9735 ± 0.0107
Duplicated,All features,50%,0.9775 ± 0.0039,0.9666 ± 0.0114
Labels,All features,10%,0.9793 ± 0.0044,0.6700 ± 0.1233
Labels,All features,20%,0.9789 ± 0.0057,0.7563 ± 0.1119
Labels,All features,30%,0.9798 ± 0.0086,0.6876 ± 0.1046
Labels,All features,50%,0.4681 ± 0.1629,0.3511 ± 0.0981
Missing,DV_pressure,10%,0.9630 ± 0.0052,0.9651 ± 0.0153
Missing,DV_pressure,20%,0.9675 ± 0.0049,0.9855 ± 0.0041
Missing,DV_pressure,30%,0.9611 ± 0.0035,0.9582 ± 0.0200
Missing,DV_pressure,50%,0.9721 ± 0.0058,0.9779 ± 0.0065
Missing,Oil_temperature,10%,0.9764 ± 0.0025,0.9485 ± 0.0201
Missing,Oil_temperature,20%,0.9809 ± 0.0025,0.9668 ± 0.0094
Missing,Oil_temperature,30%,0.9773 ± 0.0040,0.9508 ± 0.0267
Missing,Oil_temperature,50%,0.9793 ± 0.0020,0.9460 ± 0.0169
Missing,TP3,10%,0.9695 ± 0.0057,0.9413 ± 0.0278
Missing,TP3,20%,0.9600 ± 0.0040,0.9428 ± 0.0289
Missing,TP3,30%,0.9590 ± 0.0040,0.9524 ± 0.0232
Missing,TP3,50%,0.9590 ± 0.0041,0.9421 ± 0.0237
Noisy,DV_pressure,10%,0.9728 ± 0.0050,0.9750 ± 0.0096
Noisy,DV_pressure,20%,0.9783 ± 0.0036,0.9750 ± 0.0123
Noisy,DV_pressure,30%,0.9766 ± 0.0056,0.9811 ± 0.0063
Noisy,DV_pressure,50%,0.9822 ± 0.0030,0.9788 ± 0.0089
Noisy,Oil_temperature,10%,0.9746 ± 0.0044,0.9373 ± 0.0207
Noisy,Oil_temperature,20%,0.9734 ± 0.0051,0.9668 ± 0.0129
Noisy,Oil_temperature,30%,0.9763 ± 0.0045,0.9324 ± 0.0243
Noisy,Oil_temperature,50%,0.9791 ± 0.0034,0.9547 ± 0.0178
Noisy,TP3,10%,0.9689 ± 0.0058,0.9754 ± 0.0111
Noisy,TP3,20%,0.9754 ± 0.0043,0.9746 ± 0.0079
Noisy,TP3,30%,0.9786 ± 0.0048,0.9655 ± 0.0134
Noisy,TP3,50%,0.9732 ± 0.0055,0.9822 ± 0.0057
Outliers,DV_pressure,10%,0.9732 ± 0.0041,0.9535 ± 0.0221
Outliers,DV_pressure,20%,0.9779 ± 0.0039,0.9787 ± 0.0068
Outliers,DV_pressure,30%,0.9765 ± 0.0046,0.9767 ± 0.0135
Outliers,DV_pressure,50%,0.9705 ± 0.0062,0.9817 ± 0.0112
Outliers,Oil_temperature,10%,0.9749 ± 0.0049,0.9539 ± 0.0185
Outliers,Oil_temperature,20%,0.9767 ± 0.0046,0.9727 ± 0.0090
Outliers,Oil_temperature,30%,0.9690 ± 0.0045,0.9224 ± 0.0227
Outliers,Oil_temperature,50%,0.9627 ± 0.0047,0.9032 ± 0.0692
Outliers,TP3,10%,0.9750 ± 0.0049,0.9567 ± 0.0188
Outliers,TP3,20%,0.9709 ± 0.0052,0.9691 ± 0.0068
Outliers,TP3,30%,0.9703 ± 0.0059,0.9653 ± 0.0131
Outliers,TP3,50%,0.9630 ± 0.0050,0.9720 ± 0.0117
