Noise Type,Feature,Noise %,F1 mean ± CI 95%,AUC mean ± CI 95%
Duplicated,All features,0%,0.9743 ± 0.0022,0.9596 ± 0.0079
Duplicated,All features,10%,0.9740 ± 0.0025,0.9599 ± 0.0070
Duplicated,All features,20%,0.9734 ± 0.0024,0.9557 ± 0.0092
Duplicated,All features,30%,0.9745 ± 0.0026,0.9593 ± 0.0071
Duplicated,All features,50%,0.9746 ± 0.0023,0.9549 ± 0.0067
Labels,All features,0%,0.9751 ± 0.0022,0.9589 ± 0.0084
Labels,All features,10%,0.9587 ± 0.0006,0.7897 ± 0.1046
Labels,All features,20%,0.9685 ± 0.0031,0.7359 ± 0.1277
Labels,All features,30%,0.9751 ± 0.0025,0.6940 ± 0.1514
Labels,All features,50%,0.6166 ± 0.0741,0.5119 ± 0.1889
Missing,DV_pressure,0%,0.9749 ± 0.0020,0.9587 ± 0.0084
Missing,DV_pressure,10%,0.9829 ± 0.0012,0.9434 ± 0.0111
Missing,DV_pressure,20%,0.9791 ± 0.0027,0.9316 ± 0.0148
Missing,DV_pressure,30%,0.9806 ± 0.0028,0.9445 ± 0.0098
Missing,DV_pressure,50%,0.9804 ± 0.0025,0.9334 ± 0.0135
Missing,Oil_temperature,0%,0.9747 ± 0.0022,0.9590 ± 0.0080
Missing,Oil_temperature,10%,0.9692 ± 0.0039,0.9105 ± 0.0171
Missing,Oil_temperature,20%,0.9640 ± 0.0033,0.8935 ± 0.0215
Missing,Oil_temperature,30%,0.9616 ± 0.0017,0.8400 ± 0.0386
Missing,Oil_temperature,50%,0.9595 ± 0.0010,0.8137 ± 0.0487
Missing,TP3,0%,0.9752 ± 0.0023,0.9591 ± 0.0083
Missing,TP3,10%,0.9724 ± 0.0025,0.9602 ± 0.0067
Missing,TP3,20%,0.9757 ± 0.0021,0.9619 ± 0.0051
Missing,TP3,30%,0.9752 ± 0.0026,0.9581 ± 0.0070
Missing,TP3,50%,0.9732 ± 0.0029,0.9524 ± 0.0102
Noisy,DV_pressure,0%,0.9754 ± 0.0023,0.9600 ± 0.0081
Noisy,DV_pressure,10%,0.9706 ± 0.0035,0.9620 ± 0.0061
Noisy,DV_pressure,20%,0.9757 ± 0.0034,0.9531 ± 0.0126
Noisy,DV_pressure,30%,0.9757 ± 0.0034,0.9548 ± 0.0180
Noisy,DV_pressure,50%,0.9777 ± 0.0032,0.9695 ± 0.0080
Noisy,Oil_temperature,0%,0.9754 ± 0.0022,0.9594 ± 0.0077
Noisy,Oil_temperature,10%,0.9654 ± 0.0032,0.9370 ± 0.0118
Noisy,Oil_temperature,20%,0.9628 ± 0.0026,0.9186 ± 0.0114
Noisy,Oil_temperature,30%,0.9594 ± 0.0007,0.9038 ± 0.0190
Noisy,Oil_temperature,50%,0.9583 ± 0.0004,0.8834 ± 0.0256
Noisy,TP3,0%,0.9754 ± 0.0023,0.9584 ± 0.0083
Noisy,TP3,10%,0.9737 ± 0.0030,0.9634 ± 0.0083
Noisy,TP3,20%,0.9712 ± 0.0022,0.9655 ± 0.0070
Noisy,TP3,30%,0.9732 ± 0.0030,0.9658 ± 0.0077
Noisy,TP3,50%,0.9717 ± 0.0027,0.9682 ± 0.0053
Outliers,DV_pressure,0%,0.9743 ± 0.0024,0.9587 ± 0.0082
Outliers,DV_pressure,10%,0.9790 ± 0.0027,0.9480 ± 0.0085
Outliers,DV_pressure,20%,0.9792 ± 0.0026,0.9399 ± 0.0104
Outliers,DV_pressure,30%,0.9786 ± 0.0033,0.9277 ± 0.0155
Outliers,DV_pressure,50%,0.9768 ± 0.0038,0.9263 ± 0.0168
Outliers,Oil_temperature,0%,0.9752 ± 0.0022,0.9591 ± 0.0084
Outliers,Oil_temperature,10%,0.9631 ± 0.0028,0.9336 ± 0.0130
Outliers,Oil_temperature,20%,0.9620 ± 0.0020,0.9253 ± 0.0160
Outliers,Oil_temperature,30%,0.9603 ± 0.0014,0.8990 ± 0.0221
Outliers,Oil_temperature,50%,0.9591 ± 0.0006,0.8866 ± 0.0203
Outliers,TP3,0%,0.9753 ± 0.0021,0.9585 ± 0.0085
Outliers,TP3,10%,0.9756 ± 0.0030,0.9591 ± 0.0095
Outliers,TP3,20%,0.9726 ± 0.0028,0.9558 ± 0.0125
Outliers,TP3,30%,0.9727 ± 0.0032,0.9581 ± 0.0084
Outliers,TP3,50%,0.9716 ± 0.0030,0.9575 ± 0.0081
